RECORDING_SESSION_LABEL,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,TRIAL_FIXATION_TOTAL,TRIAL_LABEL,bilingual_location,condition,expt_type,spoken_language,trial_type,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE
aditi,1,472,.,.,.,.,8.05,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,8.05
aditi,1,421,.,.,.,.,7.87,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,7.87
aditi,1,352,.,.,.,.,6.69,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,6.69
aditi,2,669,.,.,.,.,7.42,bilingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,7.42
aditi,2,1591,.,.,.,.,6.96,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.96
aditi,2,224,224,1,2,bilingual_interest_area,4.38,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,4.38
aditi,2,437,.,.,.,.,7.61,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,7.61
aditi,2,354,.,.,.,.,6.75,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.75
aditi,2,214,.,.,.,.,7.56,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,7.56
aditi,2,132,.,.,.,.,6.8,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.8
aditi,1,395,395,1,1,monolingual_interest_area,3.7,monolingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,3.7
aditi,2,136,.,.,.,.,8.32,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,8.32
aditi,2,608,.,.,.,.,13.9,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,13.9
aditi,2,493,.,.,.,.,15.35,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,15.35
aditi,2,259,.,.,.,.,10.96,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,10.96
aditi,2,163,.,.,.,.,12.17,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,12.17
aditi,2,179,.,.,.,.,6.84,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,6.84
aditi,1,259,.,.,.,.,7.63,monolingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,7.63
aditi,2,216,.,.,.,.,6.94,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,6.94
aditi,1,138,340,2,1,monolingual_interest_area,3.97,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,3.97
aditi,2,258,628,2,2,bilingual_interest_area,2.6,bilingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,2.6
aditi,1,121,.,.,.,.,13.59,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,13.59
aditi,1,626,.,.,.,.,13.8,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,13.8
aditi,1,132,.,.,.,.,6.63,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,6.63
aditi,1,202,340,2,1,monolingual_interest_area,5.27,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,5.27
aditi,2,370,628,2,2,bilingual_interest_area,4.6,bilingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,4.6
aditi,2,422,.,.,.,.,6.73,bilingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,6.73
aditi,1,220,.,.,.,.,7.58,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,7.58
aditi,2,1915,2244,2,2,bilingual_interest_area,3.1,bilingual_interest_area,4,Trial: 19,2,Conditioned,Main,Hindi,Expt,3.1
aditi,1,204,.,.,.,.,7.15,monolingual_interest_area,4,Trial: 19,2,Conditioned,Main,Hindi,Expt,7.15
aditi,2,489,.,.,.,.,6.54,bilingual_interest_area,4,Trial: 19,2,Conditioned,Main,Hindi,Expt,6.54
aditi,2,329,2244,2,2,bilingual_interest_area,2.65,bilingual_interest_area,4,Trial: 19,2,Conditioned,Main,Hindi,Expt,2.65
aditi,2,2842,.,.,.,.,7.92,bilingual_interest_area,2,Trial: 20,2,Baseline,Main,English,Expt,7.92
aditi,1,227,.,.,.,.,8.46,monolingual_interest_area,2,Trial: 20,2,Baseline,Main,English,Expt,8.46
aditi,1,198,1145,2,1,monolingual_interest_area,4.32,monolingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,4.32
aditi,1,947,1145,2,1,monolingual_interest_area,3.78,monolingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,3.78
aditi,1,90,.,.,.,.,7.01,monolingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,7.01
aditi,2,138,.,.,.,.,15.17,bilingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,15.17
aditi,2,529,.,.,.,.,13.64,bilingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,13.64
aditi,2,206,.,.,.,.,15.42,bilingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,15.42
aditi,2,505,.,.,.,.,16.19,bilingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,16.19
aditi,1,102,.,.,.,.,6.81,monolingual_interest_area,8,Trial: 21,1,Baseline,Main,Hindi,Expt,6.81
aditi,1,133,426,2,1,monolingual_interest_area,3.53,monolingual_interest_area,5,Trial: 22,2,Baseline,Main,Hindi,Expt,3.53
aditi,1,293,426,2,1,monolingual_interest_area,4.01,monolingual_interest_area,5,Trial: 22,2,Baseline,Main,Hindi,Expt,4.01
aditi,1,190,.,.,.,.,9.97,monolingual_interest_area,5,Trial: 22,2,Baseline,Main,Hindi,Expt,9.97
aditi,1,372,.,.,.,.,14.4,monolingual_interest_area,5,Trial: 22,2,Baseline,Main,Hindi,Expt,14.4
aditi,2,1895,.,.,.,.,7.97,bilingual_interest_area,5,Trial: 22,2,Baseline,Main,Hindi,Expt,7.97
aditi,1,477,477,1,1,monolingual_interest_area,3.6,monolingual_interest_area,3,Trial: 23,2,Conditioned,Main,Hindi,Expt,3.6
aditi,2,216,.,.,.,.,6.88,bilingual_interest_area,3,Trial: 23,2,Conditioned,Main,Hindi,Expt,6.88
aditi,2,2316,.,.,.,.,6.46,bilingual_interest_area,3,Trial: 23,2,Conditioned,Main,Hindi,Expt,6.46
aditi,1,28,369,2,1,monolingual_interest_area,1.63,monolingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,1.63
aditi,1,341,369,2,1,monolingual_interest_area,2.38,monolingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,2.38
aditi,2,714,714,1,2,bilingual_interest_area,4.92,bilingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,4.92
aditi,2,314,.,.,.,.,7.97,bilingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,7.97
aditi,2,1168,.,.,.,.,7.27,bilingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,7.27
aditi,2,330,.,.,.,.,6.85,bilingual_interest_area,6,Trial: 24,2,Conditioned,Main,Hindi,Expt,6.85
aditi,1,546,.,.,.,.,7.86,monolingual_interest_area,5,Trial: 25,1,Conditioned,Main,Hindi,Expt,7.86
aditi,1,188,.,.,.,.,7.48,monolingual_interest_area,5,Trial: 25,1,Conditioned,Main,Hindi,Expt,7.48
aditi,2,439,.,.,.,.,12.83,bilingual_interest_area,5,Trial: 25,1,Conditioned,Main,Hindi,Expt,12.83
aditi,1,1026,.,.,.,.,7.4,monolingual_interest_area,5,Trial: 25,1,Conditioned,Main,Hindi,Expt,7.4
aditi,2,688,.,.,.,.,8.12,bilingual_interest_area,5,Trial: 25,1,Conditioned,Main,Hindi,Expt,8.12
aditi,2,1386,.,.,.,.,7.82,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,7.82
aditi,2,841,.,.,.,.,7.3,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,7.3
aditi,2,66,395,3,2,bilingual_interest_area,5.35,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,5.35
aditi,2,176,395,3,2,bilingual_interest_area,5.3,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,5.3
aditi,2,153,395,3,2,bilingual_interest_area,2.36,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,2.36
aditi,2,74,.,.,.,.,11.2,bilingual_interest_area,6,Trial: 26,2,Baseline,Main,Hindi,Expt,11.2
aditi,2,472,513,2,2,bilingual_interest_area,0.73,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,0.73
aditi,2,162,.,.,.,.,5.84,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,5.84
aditi,2,332,.,.,.,.,5.67,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,5.67
aditi,2,241,.,.,.,.,14.01,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,14.01
aditi,2,315,.,.,.,.,14.58,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,14.58
aditi,2,187,.,.,.,.,14.15,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,14.15
aditi,2,186,.,.,.,.,9.27,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,9.27
aditi,1,549,.,.,.,.,10.9,monolingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,10.9
aditi,2,187,.,.,.,.,7.2,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,7.2
aditi,2,41,513,2,2,bilingual_interest_area,5.32,bilingual_interest_area,10,Trial: 27,2,Conditioned,Main,Hindi,Expt,5.32
aditi,2,160,160,1,2,bilingual_interest_area,3.49,bilingual_interest_area,8,Trial: 28,1,Conditioned,Main,Hindi,Expt,3.49
aditi,1,159,399,2,1,monolingual_interest_area,2.49,monolingual_interest_area,8,Trial: 28,1,Conditioned,Main,Hindi,Expt,2.49
aditi,1,240,399,2,1,monolingual_interest_area,3.69,monolingual_interest_area,8,Trial: 28,1,Conditioned,Main,Hindi,Expt,3.69
aditi,1,165,.,.,.,.,11.14,monolingual_interest_area,8,Trial: 28,1,Conditioned,Main,Hindi,Expt,11.14
aditi,1,189,.,.,.,.,13.9,monolingual_interest_area,8,Trial: 28,1,Conditioned,Main,Hindi,Expt,13.9
